d_PVK_nm,R_total_peak_nm,R_total_valley_nm,R_total_peak_valley_spacing_nm,R_stack_peak_nm,R_stack_valley_nm,R_stack_peak_valley_spacing_nm,R_total_850nm,R_stack_850nm,R_total_900nm,R_stack_900nm,R_total_950nm,R_stack_950nm,R_total_1000nm,R_stack_1000nm,R_total_1050nm,R_stack_1050nm
795.0,867.0,941.0,74.0,867.0,941.0,74.0,0.7112104348803467,0.7075136090126929,0.6303561795433135,0.6242777384545951,0.5500655101570805,0.5410273947217371,0.7086209149899527,0.7048570624124479,0.8320866453210453,0.8308435176963329
800.0,871.0,946.0,75.0,871.0,946.0,75.0,0.6948002137665654,0.6906683073461278,0.6518885817358167,0.6465028336045033,0.5472335888013392,0.5380801848750911,0.6864118176790891,0.6820480358057924,0.8397778956796669,0.8386464261724567
805.0,875.0,950.0,75.0,875.0,950.0,75.0,0.6776008409249965,0.6729865890444667,0.674628043462621,0.6699276842073719,0.5464229631309437,0.5372364211390925,0.6648329585480479,0.6598431677450136,0.8435579316602269,0.8424794003946968
810.0,879.0,955.0,76.0,879.0,955.0,76.0,0.6602757997224638,0.6551483593885769,0.6976022734527237,0.6935463934973174,0.5476545020803114,0.5385182808353114,0.6443803178041999,0.6387578623013469,0.8431446442411695,0.8420603871903548
815.0,883.0,960.0,77.0,883.0,960.0,77.0,0.6433052893903806,0.6376485190938043,0.7195964420009535,0.7161124942515996,0.5509556599930865,0.5419536289274244,0.6254326696152689,0.6191898579098656,0.8384348413023017,0.8372842552002109
820.0,887.0,965.0,78.0,887.0,965.0,78.0,0.6270243187125006,0.620834887795124,0.7392513404167135,0.7362413113222492,0.5563584137470897,0.5475738173335867,0.6082637007295278,0.6014302513293363,0.8295245011157916,0.8282430021964616
825.0,891.0,969.0,78.0,891.0,969.0,78.0,0.611661743783173,0.6049473471464213,0.7552267644499538,0.7525761453006649,0.5638948538044392,0.5554090365139094,0.593058722400422,0.5856795103687451,0.8167093419622428,0.815227095405333
830.0,895.0,974.0,79.0,895.0,974.0,79.0,0.5973746938948215,0.5901525668916128,0.7664011824901891,0.7639882447916982,0.5735900067975452,0.5654808037376942,0.5799327051128903,0.5720651764654437,0.80046457698736,0.7987066890609548
835.0,900.0,979.0,79.0,900.0,979.0,79.0,0.5842767394023485,0.5765725822193846,0.7720545771230392,0.7697575928213377,0.5854513448364472,0.5777910626777291,0.5689474690400258,0.5606590107380787,0.7814067075542492,0.7792952107780725
840.0,905.0,983.0,78.0,905.0,983.0,78.0,0.572460133889974,0.5643074886182599,0.7719775194835138,0.769678974084275,0.599454410332658,0.5923073630358218,0.5601268090517545,0.5514922679304188,0.7602435192084575,0.7577010025540845
845.0,907.0,988.0,81.0,907.0,988.0,81.0,0.5620132324133266,0.5534533126120524,0.7664732888785604,0.7640618482716375,0.6155241415776173,0.6089437746167035,0.5534690271624284,0.5445684841612689,0.7377201332272633,0.7346744419844835
850.0,911.0,993.0,82.0,911.0,993.0,82.0,0.5530343009519119,0.5441162459678057,0.7562598942999929,0.7536317233250518,0.6335119492199185,0.6275376910759898,0.5489567901480019,0.5398736271149156,0.7145687035251347,0.7109578943575202
855.0,915.0,997.0,82.0,915.0,997.0,82.0,0.545642718679721,0.5364242229007748,0.7423125051876082,0.7393731345048978,0.6531695191022817,0.6478236380066669,0.5465644728386287,0.5373837201100343,0.6914674888850609,0.687244226115629
860.0,919.0,1002.0,83.0,919.0,1002.0,83.0,0.5399881869935906,0.5305364262681302,0.7256975831973745,0.7223644975892917,0.6741218310191922,0.6694067288119911,0.5462632459797275,0.5370701676088888,0.6690123663139291,0.6641471444798546
865.0,923.0,1006.0,83.0,923.0,1006.0,83.0,0.5362580313401779,0.5266507631009676,0.7074382548985317,0.7036435876370822,0.695843980193286,0.6917404772239565,0.5480241726335393,0.5389030286380041,0.6477012292333945,0.6421841072274178
870.0,927.0,1011.0,84.0,927.0,1011.0,84.0,0.5346819718979671,0.525008609670585,0.6884286136836066,0.6841211668504836,0.7176487517226481,0.7141159318101842,0.5518195275965648,0.5428524451012785,0.6279297314780732,0.6217705623665154
875.0,931.0,1016.0,85.0,931.0,1016.0,85.0,0.535532763506817,0.5258951089929699,0.6693954999536411,0.6645416176317651,0.7386937085554781,0.7356707166891021,0.5576224770557988,0.5488883618123465,0.6099957294437047,0.6032230958412631
880.0,935.0,1020.0,85.0,935.0,1020.0,85.0,0.5391197850244103,0.5296319368769922,0.6508958674051251,0.6454791192588591,0.7580164452014586,0.7554262196529798,0.565405168714117,0.5569785934848347,0.5941094701167957,0.5867686597648811
885.0,939.0,1025.0,86.0,939.0,1025.0,86.0,0.5457710145859995,0.5365577768689531,0.6333355312420029,0.6273554730775508,0.7746030848201606,0.7723574285365887,0.5751351990013479,0.5670852152415791,0.5804068358110572,0.5725572232660088
890.0,943.0,1029.0,86.0,943.0,1029.0,86.0,0.555797174541685,0.5469901171337456,0.6169975030091891,0.6104679013164954,0.787487279672456,0.785492155439997,0.5867703558994931,0.5791591906666678,0.5689635178611698,0.5606756826679379
895.0,947.0,1034.0,87.0,947.0,1034.0,87.0,0.5694311030378414,0.5611614117455687,0.6020720382239744,0.5950189222805344,0.7958661817627564,0.7940259637717824,0.6002514982292474,0.5931331207159785,0.559808632123336,0.551161472323762
900.0,951.0,1038.0,87.0,951.0,1038.0,87.0,0.5867375427886719,0.5791251576225799,0.5886840832990136,0.5811438948589317,0.7992100144826734,0.7974298533077163,0.6154934459104752,0.6089120191918356,0.5529368697427212,0.5440148875502963
