Wavelength_nm,ensemble_id,n_PVK,k_PVK,eps1,eps2
879.0,nominal,2.489938915752184,0.0,6.199795804177161,0.0
880.0,nominal,2.4890051414008583,0.0,6.195146593919906,0.0
881.0,nominal,2.488074544952936,0.0,6.190514941242759,0.0
882.0,nominal,2.4871471120043305,0.0,6.185900756751481,0.0
883.0,nominal,2.4862228282324716,0.0,6.18130395162427,0.0
884.0,nominal,2.4853016793957536,0.0,6.176724437607353,0.0
885.0,nominal,2.484383651332987,0.0,6.172162127010624,0.0
886.0,nominal,2.4834687299628513,0.0,6.1676169327032975,0.0
887.0,nominal,2.4825569012833606,0.0,6.163088768109642,0.0
888.0,nominal,2.481648151371322,0.0,6.1585775472046995,0.0
889.0,nominal,2.480742466381808,0.0,6.154083184510096,0.0
890.0,nominal,2.4798398325476274,0.0,6.149605595089845,0.0
891.0,nominal,2.4789402361788033,0.0,6.145144694546222,0.0
892.0,nominal,2.478043663662052,0.0,6.140700399015645,0.0
893.0,nominal,2.4771501014602704,0.0,6.136272625164628,0.0
894.0,nominal,2.476259536112023,0.0,6.131861290185731,0.0
895.0,nominal,2.4753719542310373,0.0,6.127466311793585,0.0
896.0,nominal,2.474487342505697,0.0,6.1230876082209065,0.0
897.0,nominal,2.473605687698548,0.0,6.118725098214607,0.0
898.0,nominal,2.4727269766457973,0.0,6.114378701031866,0.0
899.0,nominal,2.4718511962568277,0.0,6.11004833643631,0.0
900.0,nominal,2.4709783335137043,0.0,6.105733924694164,0.0
730.0,more_absorptive,2.5522337366974153,0.2077854821546036,6.47072224014223,1.060634235101836
731.0,more_absorptive,2.5520190136929393,0.20967676747464847,6.468836699431664,1.0701981946499524
732.0,more_absorptive,2.553746611888054,0.2152776156712232,6.475277305920628,1.0995289632714498
733.0,more_absorptive,2.557442459308699,0.22324547611100246,6.490673390070899,1.141874918909727
734.0,more_absorptive,2.563877870990672,0.2329795894008934,6.519190248278253,1.1946624273148871
735.0,more_absorptive,2.571702200257464,0.24461272958452912,6.553816819334288,1.2581421897670353
736.0,more_absorptive,2.577595354385918,0.25728019459737556,6.577804712419803,1.3263284687394004
737.0,more_absorptive,2.5807302211319207,0.2686477147027421,6.587996879648607,1.3866145523427857
738.0,more_absorptive,2.5836516537753313,0.27699958912875905,6.598527095678503,1.4313408930952112
739.0,more_absorptive,2.587303375237921,0.2821154878982905,6.614549607005449,1.4598367080922798
740.0,more_absorptive,2.6093198022462563,0.32174936318764047,6.7050271776827906,1.6790939694512659
741.0,more_absorptive,2.607792242252367,0.3220256060131097,6.696879887823517,1.6795517543352092
742.0,more_absorptive,2.6064360954531725,0.32125449947690154,6.690304666247024,1.674658646526677
743.0,more_absorptive,2.6052449256881003,0.31944416652836477,6.6852565472945935,1.6644605877773737
744.0,more_absorptive,2.6042134684228513,0.31660533042456196,6.681688853861731,1.6490157313322227
745.0,more_absorptive,2.603337384714139,0.3127524407370284,6.679551449463284,1.6284002422625985
746.0,more_absorptive,2.602613028636674,0.30790465653583,6.678789299312915,1.6027133413561028
747.0,more_absorptive,2.6020372281723807,0.3020866867509235,6.679341370482855,1.5720816101223023
748.0,more_absorptive,2.6016070795618376,0.29532948771081763,6.681139890114739,1.5366625720636677
749.0,more_absorptive,2.601319755117962,0.28767081785853427,6.684109968919577,1.4966475629326925
750.0,more_absorptive,2.6011723245019205,0.2791556496448709,6.688169585026075,1.452263900169185
751.0,more_absorptive,2.60116158946127,0.26983643859896445,6.693229910892907,1.4037763590413015
752.0,more_absorptive,2.60128392686086,0.2597732495761561,6.699195926949301,1.3514879575017393
753.0,more_absorptive,2.6015351415658294,0.24903374018315544,6.705967289052328,1.2957400530441066
754.0,more_absorptive,2.601910346305701,0.23769300138050825,6.7134394873073795,1.2369117590727994
755.0,more_absorptive,2.6024038495806536,0.22583325526236264,6.72150513712981,1.1754186657162058
756.0,more_absorptive,2.6030090572865316,0.21354341001353755,6.7300553643555086,1.1117108607781794
757.0,more_absorptive,2.603718388057178,0.20091847204389252,6.738981211898618,1.04627024032207
758.0,more_absorptive,2.6045232023227123,0.18805881529999616,6.748174993425318,0.9796070957003229
759.0,more_absorptive,2.6054137450823753,0.1750693077540988,6.757531520546669,0.9122559615291709
760.0,more_absorptive,2.6063791023905867,0.16205829507040287,6.766949134377235,0.8447707072810909
761.0,more_absorptive,2.607407171554888,0.1491364414486369,6.776330480107898,0.777718853946703
762.0,more_absorptive,2.6084846450444465,0.13641542764492853,6.785582974533103,0.7116750967179356
763.0,more_absorptive,2.609597008107814,0.12400650616997962,6.794618931152769,0.647214014974164
764.0,more_absorptive,2.6107285500986563,0.11201891366454111,6.8033553252816485,0.584901952110108
765.0,more_absorptive,2.611862389508198,0.10055814045219051,6.811713202116271,0.5252880500119186
766.0,more_absorptive,2.6129805127030945,0.08972405726940855,6.819616753313243,0.4688944263312419
767.0,more_absorptive,2.61406382636753,0.07960889917295794,6.8269921114957235,0.41620548716993866
768.0,more_absorptive,2.615092223648297,0.07029510662456255,6.833765936170436,0.3676563733888428
769.0,more_absorptive,2.6160446640016484,0.061853023752887704,6.839863887504122,0.3236205454822182
770.0,more_absorptive,2.6168992667407456,0.05433845379282125,6.845209104707657,0.2843965197725196
771.0,more_absorptive,2.6176334182825056,0.04779007170205557,6.849720821556067,0.25019377749883553
772.0,more_absorptive,2.6182238930926975,0.042226693954970945,6.853313260679115,0.2211178780784358
773.0,more_absorptive,2.618646988328135,0.037644405513819035,6.855894948213523,0.1971548182523305
