Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
475.0,0.04193131469631514,0.9580686853036848,0.0057345449342836195,0.04719629429376731,nominal,600.0,1.47590872336123e-09,1.355381869239114e-09
476.0,0.04193131469631514,0.9580686853036848,0.006116505865146431,0.047547068842591425,nominal,600.0,3.3917715944881133e-10,3.1148898738120323e-10
477.0,0.04193131469631514,0.9580686853036848,0.0065672637507864055,0.047961037663976594,nominal,600.0,-6.994891992018193e-11,-6.424118181858063e-11
478.0,0.04193131469631514,0.9580686853036848,0.007044455670334118,0.04839930013588578,nominal,600.0,-1.0743709168842264e-09,-9.86743194097972e-10
479.0,0.04193131469631514,0.9580686853036848,0.007523720209179389,0.048839483800880414,nominal,600.0,-3.0681843289984134e-09,-2.818050702513286e-09
480.0,0.04193131469631514,0.9580686853036848,0.008015579912552416,0.04929125397925001,nominal,600.0,-4.994876663319547e-09,-4.587858815074952e-09
481.0,0.04193131469631514,0.9580686853036848,0.008535547485641956,0.0497688613368092,nominal,600.0,-6.210377019935653e-09,-5.704560449015794e-09
482.0,0.04193131469631514,0.9580686853036848,0.009097898464052356,0.05028542270040852,nominal,600.0,-7.409085527390613e-09,-6.805958831235248e-09
483.0,0.04193131469631514,0.9580686853036848,0.009710681709340736,0.050848337614359286,nominal,600.0,-9.087653820433195e-09,-8.348314692319114e-09
484.0,0.04193131469631514,0.9580686853036848,0.010371600372751817,0.0514555031235519,nominal,600.0,-1.0609954000442845e-08,-9.747306420337942e-09
485.0,0.04193131469631514,0.9580686853036848,0.01107225291594687,0.052099207683304116,nominal,600.0,-1.1388113283980483e-08,-1.0462812116696085e-08
486.0,0.04193131469631514,0.9580686853036848,0.011789530864569736,0.05275822555998084,nominal,600.0,-1.2221794500055783e-08,-1.1229431280679325e-08
487.0,0.04193131469631514,0.9580686853036848,0.012507734199310958,0.05341813339872867,nominal,600.0,-1.3963362376079314e-08,-1.2830363611826545e-08
488.0,0.04193131469631514,0.9580686853036848,0.0132624376671028,0.05411162156068934,nominal,600.0,-1.6027149411443342e-08,-1.4727625868848904e-08
489.0,0.04193131469631514,0.9580686853036848,0.01409201342246609,0.05487395965864529,nominal,600.0,-1.7576051206460996e-08,-1.6152062944085888e-08
490.0,0.04193131469631514,0.9580686853036848,0.014960047557344883,0.055671695876175493,nominal,600.0,-1.910954363325279e-08,-1.756259306734398e-08
491.0,0.04193131469631514,0.9580686853036848,0.015809313935544047,0.05645224048674928,nominal,600.0,-2.1632526908677008e-08,-1.9882753436728517e-08
492.0,0.04193131469631514,0.9580686853036848,0.016657211614800885,0.057231582648268296,nominal,600.0,-2.4780181153566394e-08,-2.2777426493536534e-08
493.0,0.04193131469631514,0.9580686853036848,0.017556730765949147,0.05805843312836848,nominal,600.0,-2.7416413743430734e-08,-2.5202499066845352e-08
494.0,0.04193131469631514,0.9580686853036848,0.018511886147628866,0.05893649353680651,nominal,600.0,-2.940238934615036e-08,-2.703027102146649e-08
495.0,0.04193131469631514,0.9580686853036848,0.019492992704722316,0.05983848376876964,nominal,600.0,-3.1406855064558536e-08,-2.8875398586092338e-08
496.0,0.04193131469631514,0.9580686853036848,0.020481539077843836,0.06074738899573366,nominal,600.0,-3.379357775556979e-08,-3.107232458832154e-08
497.0,0.04193131469631514,0.9580686853036848,0.021470447730376648,0.06165670277498005,nominal,600.0,-3.647920958013695e-08,-3.354447816045214e-08
498.0,0.04193131469631514,0.9580686853036848,0.02248042204304332,0.06258546460198217,nominal,600.0,-3.90683738728248e-08,-3.592839145638571e-08
499.0,0.04193131469631514,0.9580686853036848,0.023567033653360433,0.06358478921968833,nominal,600.0,-4.102086620730305e-08,-3.772740024554633e-08
500.0,0.04193131469631514,0.9580686853036848,0.024727419949165597,0.06465206289052156,nominal,600.0,-4.2651261203396906e-08,-3.9230716133986654e-08
501.0,0.04193131469631514,0.9580686853036848,0.025853322465016773,0.06568771923942691,nominal,600.0,-4.600781720182079e-08,-4.232208326848674e-08
