Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
520.0,0.04193131469631514,0.9580686853036848,0.047423767891990626,0.08554811664909479,700.0,15.0,nominal,0.0,0.0,0.0
521.0,0.04193131469631514,0.9580686853036848,0.048551138436054186,0.08658710215691542,700.0,15.0,nominal,0.0,0.0,0.0
522.0,0.04193131469631514,0.9580686853036848,0.049605793955684326,0.08755916256178206,700.0,15.0,nominal,0.0,0.0,0.0
523.0,0.04193131469631514,0.9580686853036848,0.050539282783360145,0.08841961729606736,700.0,15.0,nominal,0.0,0.0,0.0
524.0,0.04193131469631514,0.9580686853036848,0.051427314858729915,0.08923823436871339,700.0,15.0,nominal,0.0,0.0,0.0
525.0,0.04193131469631514,0.9580686853036848,0.05235960481942965,0.09009771555285047,700.0,15.0,nominal,0.0,0.0,0.0
526.0,0.04193131469631514,0.9580686853036848,0.053374685353374585,0.09103359822443564,700.0,15.0,nominal,0.0,0.0,0.0
527.0,0.04193131469631514,0.9580686853036848,0.054477312510426895,0.09205028750016947,700.0,15.0,nominal,0.0,0.0,0.0
528.0,0.04193131469631514,0.9580686853036848,0.05553470819069421,0.09302535911721556,700.0,15.0,nominal,0.0,0.0,0.0
529.0,0.04193131469631514,0.9580686853036848,0.05638166677101158,0.09380643983243864,700.0,15.0,nominal,0.0,0.0,0.0
530.0,0.04193131469631514,0.9580686853036848,0.05710720154820289,0.0944755855167334,700.0,15.0,nominal,0.0,0.0,0.0
531.0,0.04193131469631514,0.9580686853036848,0.05793144201270332,0.09523581493012101,700.0,15.0,nominal,0.0,0.0,0.0
532.0,0.04193131469631514,0.9580686853036848,0.058883286497430534,0.09611380409638914,700.0,15.0,nominal,0.0,0.0,0.0
