NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
697.867853,2.070253365,697.867853,0.033827862,,
697.0876736,2.07060867,697.0876736,0.033946036,,
696.3074941,2.070965672,696.3074941,0.034065048,,
695.5273146,2.071324382,695.5273146,0.034184905,,
694.7471352,2.071684811,694.7471352,0.034305616,,
693.9669557,2.072046971,693.9669557,0.03442719,,
693.1867762,2.072410874,693.1867762,0.034549636,,
692.4065968,2.072776531,692.4065968,0.034672963,,
691.6264173,2.073143955,691.6264173,0.03479718,,
690.8462378,2.073513157,690.8462378,0.034922296,,
690.0660584,2.07388415,690.0660584,0.035048321,,
689.2858789,2.074256945,689.2858789,0.035175265,,
688.5056994,2.074631555,688.5056994,0.035303137,,
687.72552,2.075007992,687.72552,0.035431946,,
686.9453405,2.075386269,686.9453405,0.035561704,,
686.165161,2.075766399,686.165161,0.035692419,,
685.3849815,2.076148394,685.3849815,0.035824103,,
684.6048021,2.076532267,684.6048021,0.035956765,,
683.8246226,2.076918031,683.8246226,0.036090417,,
683.0444431,2.077305699,683.0444431,0.036225068,,
682.2642637,2.077695284,682.2642637,0.036360729,,
681.4840842,2.0780868,681.4840842,0.036497412,,
680.7039047,2.07848026,680.7039047,0.036635127,,
679.9237253,2.078875677,679.9237253,0.036773886,,
679.1435458,2.079273066,679.1435458,0.036913701,,
678.3633663,2.079672439,678.3633663,0.037054582,,
677.5831869,2.08007381,677.5831869,0.037196542,,
676.8030074,2.080477195,676.8030074,0.037339592,,
676.0228279,2.080882606,676.0228279,0.037483745,,
675.2426485,2.081290059,675.2426485,0.037629012,,
674.462469,2.081699566,674.462469,0.037775407,,
673.6822895,2.082111144,673.6822895,0.037922941,,
672.9021101,2.082524806,672.9021101,0.038071628,,
672.1219306,2.082940567,672.1219306,0.03822148,,
671.3417511,2.083358443,671.3417511,0.038372512,,
670.5615716,2.083778448,670.5615716,0.038524735,,
669.7813922,2.084200596,669.7813922,0.038678163,,
669.0012127,2.084624905,669.0012127,0.038832811,,
668.2210332,2.085051388,668.2210332,0.038988692,,
