Wavelength_nm,R_front,T_front,R_stack,R_total,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
757.0,0.04193131469631514,0.9580686853036848,0.09596820595890551,0.13037601718185676,13.0,693.5,8.5,-8.514390491258517e-05,-7.878630421373489e-05
758.0,0.04193131469631514,0.9580686853036848,0.10735267367937121,0.1409154330786282,13.0,693.5,8.5,-9.307804757528737e-05,-8.621066297209712e-05
759.0,0.04193131469631514,0.9580686853036848,0.1212566829872842,0.15380108768525314,13.0,693.5,8.5,-0.0001002806531019973,-9.299077012775436e-05
760.0,0.04193131469631514,0.9580686853036848,0.13808760529588063,0.16941950225215596,13.0,693.5,8.5,-0.0001064859732979595,-9.888526052764801e-05
761.0,0.04193131469631514,0.9580686853036848,0.15825116272200293,0.18815968614341605,13.0,693.5,8.5,-0.00011138957236736524,-0.00010361502956085511
762.0,0.04193131469631514,0.9580686853036848,0.18211587531773227,0.21038101864720682,13.0,693.5,8.5,-0.00011463992596263961,-0.0001068537093188715
763.0,0.04193131469631514,0.9580686853036848,0.20996594932459323,0.23637000399568361,13.0,693.5,8.5,-0.00011582771352278143,-0.00010821537045968554
764.0,0.04193131469631514,0.9580686853036848,0.24194492058010744,0.26628760408017704,13.0,693.5,8.5,-0.0001144803028247654,-0.00010724648431675865
765.0,0.04193131469631514,0.9580686853036848,0.27799548792772566,0.3001116868354241,13.0,693.5,8.5,-0.00011007425677722615,-0.00010343450727656744
766.0,0.04193131469631514,0.9580686853036848,0.31780418917413533,0.3375822117543067,13.0,693.5,8.5,-0.00010208199460504108,-9.624915102518505e-05
767.0,0.04193131469631514,0.9580686853036848,0.3607619156940874,0.3781592868183262,13.0,693.5,8.5,-9.006569706859757e-05,-8.523031683227433e-05
768.0,0.04193131469631514,0.9580686853036848,0.40595165780971504,0.42100518585697866,13.0,693.5,8.5,-7.382024594715375e-05,-7.012657474125827e-05
769.0,0.04193131469631514,0.9580686853036848,0.45217258200547206,0.46500000384587137,13.0,693.5,8.5,-5.354923623512864e-05,-5.107099323564679e-05
770.0,0.04193131469631514,0.9580686853036848,0.4980045983797342,0.5087966227401491,13.0,693.5,8.5,-3.0038210802274534e-05,-2.876059257084229e-05
771.0,0.04193131469631514,0.9580686853036848,0.5419109530844223,0.5509146451670899,13.0,693.5,8.5,-4.7747834354128216e-06,-4.588933212090751e-06
772.0,0.04193131469631514,0.9580686853036848,0.5823697146506319,0.589866228549073,13.0,693.5,8.5,2.0035759580427914e-05,1.9322910005725724e-05
773.0,0.04193131469631514,0.9580686853036848,0.618020023045291,0.6243009327353872,13.0,693.5,8.5,4.159799253933283e-05,4.024117307144248e-05
774.0,0.04193131469631514,0.9580686853036848,0.647806955587581,0.6531533393143413,13.0,693.5,8.5,5.680780408567898e-05,5.5096044962565927e-05
775.0,0.04193131469631514,0.9580686853036848,0.6711100101587686,0.6757769942130307,13.0,693.5,8.5,6.266312894143145e-05,6.089718911705955e-05
776.0,0.04193131469631514,0.9580686853036848,0.687844217831765,0.6920514012881409,13.0,693.5,8.5,5.6743223293742595e-05,5.522384415690418e-05
777.0,0.04193131469631514,0.9580686853036848,0.6985291733056124,0.7024550772524866,13.0,693.5,8.5,3.766912095015673e-05,3.6694357097633024e-05
778.0,0.04193131469631514,0.9580686853036848,0.7033443887023044,0.7071466728067412,13.0,693.5,8.5,4.03459779263482e-06,3.931835693693486e-06
779.0,0.04193131469631514,0.9580686853036848,0.7062993635718621,0.7100267520175341,13.0,693.5,8.5,-3.94975238446893e-05,-3.850141599492929e-05
780.0,0.04193131469631514,0.9580686853036848,0.7093348221546322,0.7129860409551264,13.0,693.5,8.5,-9.075563701443912e-05,-8.849023329726702e-05
781.0,0.04193131469631514,0.9580686853036848,0.7122804013858874,0.7158584482748543,13.0,693.5,8.5,-0.00014813754413556257,-0.00014447693689334518
782.0,0.04193131469631514,0.9580686853036848,0.7150025092132621,0.7185135858492556,13.0,693.5,8.5,-0.00020972852812040088,-0.0002045946395334841
783.0,0.04193131469631514,0.9580686853036848,0.7174790984110623,0.7209297880484996,13.0,693.5,8.5,-0.00027563153983756195,-0.00026894277634559316
784.0,0.04193131469631514,0.9580686853036848,0.7196871557474933,0.7230844423614788,13.0,693.5,8.5,-0.0003459039733810787,-0.000337575377180932
785.0,0.04193131469631514,0.9580686853036848,0.7216029263654521,0.7249542124080315,13.0,693.5,8.5,-0.0004205476910810191,-0.0004104911653047827
786.0,0.04193131469631514,0.9580686853036848,0.7232021956920542,0.7265153180928422,13.0,693.5,8.5,-0.0004994986732289597,-0.00048762330142004817
787.0,0.04193131469631514,0.9580686853036848,0.7244606314809239,0.7277438754179671,13.0,693.5,8.5,-0.0005826166671135669,-0.0005688291524160727
788.0,0.04193131469631514,0.9580686853036848,0.7253541881585044,0.7286162979749427,13.0,693.5,8.5,-0.0006696751045397464,-0.0006538803638478363
