family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,858.0,0.007091142657285473,0.02188213960574597
thickness_nuisance,859.0,0.006940197423035168,0.022722094252799332
thickness_nuisance,860.0,0.006800383481350695,0.02355165731540396
thickness_nuisance,861.0,0.006670970156813975,0.024371120760326714
thickness_nuisance,862.0,0.0065512378497364345,0.02518093073546987
thickness_nuisance,863.0,0.0064404776402562525,0.025981630157336608
thickness_nuisance,864.0,0.006337990323312196,0.026773815029305433
thickness_nuisance,865.0,0.006243085138058781,0.027558100882549653
thickness_nuisance,866.0,0.006155078125068659,0.02833509676790761
thickness_nuisance,867.0,0.006073290193273561,0.029105384802779855
thickness_nuisance,868.0,0.005997045007248907,0.029869503981017245
thickness_nuisance,869.0,0.005925666675523824,0.03062793712578906
thickness_nuisance,870.0,0.005858477321293686,0.03138110023193583
thickness_nuisance,871.0,0.005794794439548147,0.032129333039565236
thickness_nuisance,872.0,0.005733927982015724,0.03287288975962708
thickness_nuisance,873.0,0.005675178041754389,0.03361193385533972
thickness_nuisance,874.0,0.005617832347547513,0.034346532706966686
thickness_nuisance,875.0,0.005561163667274284,0.035076652324796724
thickness_nuisance,876.0,0.005504427313764716,0.03580215252883971
thickness_nuisance,877.0,0.005446858705893505,0.03652278238986927
thickness_nuisance,878.0,0.0053876710853161145,0.037238175948050185
thickness_nuisance,879.0,0.00532605339220895,0.03794784817727284
thickness_nuisance,880.0,0.005261168370223972,0.038651191189213535
thickness_nuisance,881.0,0.005192150924420043,0.0393474708946831
thickness_nuisance,882.0,0.00511810693195139,0.040035824767568014
thickness_nuisance,883.0,0.005038112055743117,0.04071525789967611
thickness_nuisance,884.0,0.0049512110924005955,0.04138464002889958
thickness_nuisance,885.0,0.004856417840985295,0.04204270336957046
thickness_nuisance,886.0,0.004752715475439769,0.04268804084611257
thickness_nuisance,887.0,0.00463905753305159,0.04331910503973096
thickness_nuisance,888.0,0.004514369578002282,0.04393420785495207
thickness_nuisance,889.0,0.004377551591262694,0.04453152102706765
thickness_nuisance,890.0,0.00422748117502711,0.04510907754864881
thickness_nuisance,891.0,0.004063017748316875,0.045664775469318165
thickness_nuisance,892.0,0.0038830078543094057,0.0461963855882273
thickness_nuisance,893.0,0.0036862907221490607,0.046701552838835744
thickness_nuisance,894.0,0.0034717052190945796,0.047177801426455834
thickness_nuisance,895.0,0.003238098066851602,0.04762254284610934
thickness_nuisance,896.0,0.002984333208550736,0.04803308548305486
thickness_nuisance,897.0,0.0027093023587573747,0.048406645919835525
thickness_nuisance,898.0,0.0024118678878907998,0.048740015341557204
thickness_nuisance,899.0,0.0020934438515964895,0.049045262492935754
thickness_nuisance,900.0,0.0017528517672681758,0.04932003616881803
thickness_nuisance,901.0,0.0013888481545053983,0.04956369932418958
thickness_nuisance,902.0,0.0010004426347958652,0.049771179377131304
thickness_nuisance,903.0,0.0005866581061865734,0.04994029950670767
thickness_nuisance,904.0,0.0001444728390829829,0.05005324843465995
thickness_nuisance,905.0,-0.0003266603631847958,0.05010683957945727
thickness_nuisance,906.0,-0.0008359151441890697,0.05001907657494853
thickness_nuisance,907.0,-0.0013732445482915925,0.04986447483052059
thickness_nuisance,908.0,-0.0019384714950541487,0.04964048097744232
thickness_nuisance,909.0,-0.0025311936042219274,0.049344732374968385
thickness_nuisance,910.0,-0.0031507665022117524,0.04897509146928153
thickness_nuisance,911.0,-0.003796288673893161,0.0485296815287122
thickness_nuisance,912.0,-0.004466588436052751,0.04800692383471188
thickness_nuisance,913.0,-0.005160212729308118,0.04740557447214501
thickness_nuisance,914.0,-0.0058754187277773725,0.04672476294279237
thickness_nuisance,915.0,-0.006610168672308215,0.045964032509008934
thickness_nuisance,916.0,-0.007362128247186995,0.045123382438641606
