family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,716.0,-0.001275655353063918,0.011026699573590964
thickness_nuisance,717.0,-0.0015233370961977987,0.010690712617720229
thickness_nuisance,718.0,-0.001758550100255073,0.01029960433181306
thickness_nuisance,719.0,-0.002000045338440907,0.009862827643176404
thickness_nuisance,720.0,-0.002232571000780758,0.00939466750465252
thickness_nuisance,721.0,-0.0024070593000582756,0.009006011396607451
thickness_nuisance,722.0,-0.002521501640217698,0.008698449560802145
thickness_nuisance,723.0,-0.002667018883929627,0.008234242983024997
thickness_nuisance,724.0,-0.002904162953062627,0.0075451666356853835
thickness_nuisance,725.0,-0.0031549464752795154,0.006950319342292653
thickness_nuisance,726.0,-0.00330629184754223,0.0065959089270938055
thickness_nuisance,727.0,-0.0033508894904983157,0.0061764318411675805
thickness_nuisance,728.0,-0.003386019787037251,0.005551235108625452
thickness_nuisance,729.0,-0.0034654194823563935,0.004926288863446011
thickness_nuisance,730.0,-0.0035584822988284546,0.004424571750068737
thickness_nuisance,731.0,-0.003628153369469224,0.0039888992295805965
thickness_nuisance,732.0,-0.003676198607190635,0.0035982700753609104
thickness_nuisance,733.0,-0.003715993745225723,0.0033578208110610743
thickness_nuisance,734.0,-0.003738178056045778,0.003281639017238885
thickness_nuisance,735.0,-0.0037158928482758542,0.003253178161297053
thickness_nuisance,736.0,-0.0036484542609331655,0.003314790110002921
thickness_nuisance,737.0,-0.0035696055282643272,0.0036486959346756676
thickness_nuisance,738.0,-0.003516827218310644,0.004099902706623048
thickness_nuisance,739.0,-0.003496555910747509,0.004425628497129768
thickness_nuisance,740.0,-0.0034735115809784744,0.004700876399247897
thickness_nuisance,741.0,-0.003392919691394577,0.0051607489431304485
thickness_nuisance,742.0,-0.0033353388674065175,0.0056410303893248085
thickness_nuisance,743.0,-0.0033018200539302787,0.00614399018293885
thickness_nuisance,744.0,-0.0032936195165766484,0.006676251558635888
thickness_nuisance,745.0,-0.003312319852472876,0.007246784642409636
thickness_nuisance,746.0,-0.0033599424338086148,0.007865932569770358
thickness_nuisance,747.0,-0.0034390563889186983,0.008544929664058787
thickness_nuisance,748.0,-0.003552886527841688,0.009295629426547906
thickness_nuisance,749.0,-0.0037054195575193624,0.010130282909873662
thickness_nuisance,750.0,-0.0039015039301979765,0.01106126228881545
thickness_nuisance,751.0,-0.0041469331963151,0.012100644849539613
thickness_nuisance,752.0,-0.0044484949367532825,0.013259575916338426
thickness_nuisance,753.0,-0.004813957715732994,0.014547321356551323
thickness_nuisance,754.0,-0.005251955801227289,0.01596991304078756
thickness_nuisance,755.0,-0.005771714254595909,0.01752829058459961
thickness_nuisance,756.0,-0.006382541230635615,0.01921585166635539
thickness_nuisance,757.0,-0.007093000390134313,0.021015364488542968
thickness_nuisance,758.0,-0.007909673398239241,0.0228952849944586
thickness_nuisance,759.0,-0.008835443074879351,0.024805684156522036
thickness_nuisance,760.0,-0.009867289726222783,0.02667425167239448
thickness_nuisance,761.0,-0.010993716499475338,0.028403215050017597
thickness_nuisance,762.0,-0.012192118418188489,0.029868482052232182
thickness_nuisance,763.0,-0.013426676101743433,0.03092282045019136
thickness_nuisance,764.0,-0.014647640973188084,0.03140528186749896
thickness_nuisance,765.0,-0.015793069709918214,0.03115923942987894
thickness_nuisance,766.0,-0.016793996691193684,0.03006128153324547
thickness_nuisance,767.0,-0.01758352798182888,0.028063141360638928
thickness_nuisance,768.0,-0.018109313364720103,0.025250005002345862
thickness_nuisance,769.0,-0.018347431172272617,0.021922296825494958
thickness_nuisance,770.0,-0.018314315491216423,0.018704451411878438
thickness_nuisance,771.0,-0.018072599428129207,0.01658709316457699
thickness_nuisance,772.0,-0.01772726632285037,0.016474065016175057
thickness_nuisance,773.0,-0.017410584042409773,0.018203622904898145
thickness_nuisance,774.0,-0.017257645796467283,0.020655746487640195
thickness_nuisance,775.0,-0.017377988941708868,0.022771909549433148
thickness_nuisance,776.0,-0.01783134190370194,0.023965082948704856
thickness_nuisance,777.0,-0.018615766904122782,0.024100158536694827
