Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_front_nm,ensemble_id,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
603.0,0.04193131469631514,0.9580686853036848,0.078630165174445,0.11434434835584265,0.0,nominal,0.0,0.0
604.0,0.04193131469631514,0.9580686853036848,0.07853906007433835,0.11426016953409063,0.0,nominal,0.0,0.0
605.0,0.04193131469631514,0.9580686853036848,0.07847205152178323,0.1141982557282337,0.0,nominal,0.0,0.0
606.0,0.04193131469631514,0.9580686853036848,0.07835598033482877,0.11409101040938464,0.0,nominal,0.0,0.0
607.0,0.04193131469631514,0.9580686853036848,0.07807803028981368,0.11383419949989339,0.0,nominal,0.0,0.0
608.0,0.04193131469631514,0.9580686853036848,0.07766663403589247,0.11345410248539961,0.0,nominal,0.0,0.0
609.0,0.04193131469631514,0.9580686853036848,0.07734179964202566,0.1131539909551606,0.0,nominal,0.0,0.0
610.0,0.04193131469631514,0.9580686853036848,0.07721317266109477,0.11303515592898677,0.0,nominal,0.0,0.0
611.0,0.04193131469631514,0.9580686853036848,0.07717996228217064,0.11300447395735348,0.0,nominal,0.0,0.0
612.0,0.04193131469631514,0.9580686853036848,0.07711243844291539,0.11294209117798257,0.0,nominal,0.0,0.0
613.0,0.04193131469631514,0.9580686853036848,0.07688151421084996,0.11272875149352898,0.0,nominal,0.0,0.0
614.0,0.04193131469631514,0.9580686853036848,0.07643312343962975,0.11231451687117541,0.0,nominal,0.0,0.0
615.0,0.04193131469631514,0.9580686853036848,0.07596645605494716,0.11188341445037184,0.0,nominal,0.0,0.0
616.0,0.04193131469631514,0.9580686853036848,0.07571923999766092,0.11165504571525661,0.0,nominal,0.0,0.0
617.0,0.04193131469631514,0.9580686853036848,0.0756658987672069,0.11160577175039692,0.0,nominal,0.0,0.0
618.0,0.04193131469631514,0.9580686853036848,0.07562588515092586,0.11156880931508596,0.0,nominal,0.0,0.0
