case_id,family,anchor_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,reference_case_id,comment
D1_0083,rear_gap_on_background,anchor_02_pvk690,690.0,10.0,20.0,0.0,15.0,D1_0002,Rear-gap overlay on roughness background anchor.
D1_0084,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.5,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0085,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,1.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0086,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,2.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0087,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,3.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0088,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,5.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0089,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,10.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0090,front_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,15.0,0.0,D1_0003,Front-gap overlay on roughness background anchor.
D1_0091,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,0.5,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0092,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,1.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0093,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,2.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0094,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,3.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0095,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,5.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0096,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,10.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0097,rear_gap_on_background,anchor_03_pvk710,710.0,10.0,20.0,0.0,15.0,D1_0003,Rear-gap overlay on roughness background anchor.
D1_0098,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.5,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0099,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,1.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0100,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,2.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0101,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,3.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0102,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,5.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0103,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,10.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0104,front_gap_on_background,anchor_04_front5,700.0,5.0,20.0,15.0,0.0,D1_0004,Front-gap overlay on roughness background anchor.
D1_0105,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,0.5,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0106,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,1.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0107,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,2.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0108,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,3.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0109,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,5.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0110,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,10.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0111,rear_gap_on_background,anchor_04_front5,700.0,5.0,20.0,0.0,15.0,D1_0004,Rear-gap overlay on roughness background anchor.
D1_0112,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.5,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0113,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,1.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0114,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,2.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0115,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,3.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0116,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,5.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0117,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,10.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0118,front_gap_on_background,anchor_05_front15,700.0,15.0,20.0,15.0,0.0,D1_0005,Front-gap overlay on roughness background anchor.
D1_0119,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,0.5,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0120,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,1.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0121,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,2.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0122,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,3.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0123,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,5.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0124,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,10.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0125,rear_gap_on_background,anchor_05_front15,700.0,15.0,20.0,0.0,15.0,D1_0005,Rear-gap overlay on roughness background anchor.
D1_0126,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.5,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0127,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,1.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0128,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,2.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0129,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,3.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0130,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,5.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0131,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,10.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0132,front_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,15.0,0.0,D1_0006,Front-gap overlay on roughness background anchor.
D1_0133,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,0.5,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0134,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,1.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0135,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,2.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0136,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,3.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0137,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,5.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0138,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,10.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0139,rear_gap_on_background,anchor_06_rear10,700.0,10.0,10.0,0.0,15.0,D1_0006,Rear-gap overlay on roughness background anchor.
D1_0140,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.5,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0141,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,1.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0142,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,2.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0143,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,3.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0144,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,5.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0145,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,10.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0146,front_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,15.0,0.0,D1_0007,Front-gap overlay on roughness background anchor.
D1_0147,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,0.5,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0148,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,1.0,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0149,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,2.0,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0150,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,3.0,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0151,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,5.0,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0152,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,10.0,D1_0007,Rear-gap overlay on roughness background anchor.
D1_0153,rear_gap_on_background,anchor_07_rear30,700.0,10.0,30.0,0.0,15.0,D1_0007,Rear-gap overlay on roughness background anchor.
