Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
555.0,0.1378552947709766,3.991227635702814e-05,0.8621047929526664,0.24038341180492065,3.9912276357028157e-05,0.7595766759187224
556.0,0.13755459869090575,4.445430732698934e-05,0.8624009470017673,0.2400328716648041,4.445430732698933e-05,0.7599226740278688
557.0,0.1372590698848548,4.95644919823494e-05,0.8626913656231628,0.23969053476894553,4.9564491982349386e-05,0.7602599007390721
558.0,0.13694279551678995,5.485241613723582e-05,0.8630023520670729,0.23930887611480847,5.4852416137235906e-05,0.7606362714690543
559.0,0.1365928829603904,5.983555617595432e-05,0.8633472814834336,0.2388614447650174,5.983555617595439e-05,0.7610787196788067
560.0,0.13622193801462648,6.474729541896483e-05,0.8637133146899546,0.2383736923665416,6.474729541896477e-05,0.7615615603380395
561.0,0.13583055366041852,7.04812074420093e-05,0.8640989651321395,0.23786114831276414,7.048120744200931e-05,0.7620683704797938
562.0,0.13543579309862366,7.797150492752899e-05,0.8644862353964489,0.23735975841243695,7.797150492752907e-05,0.7625622700826356
563.0,0.13505537682068522,8.821028811418836e-05,0.8648564128912005,0.23690212114836778,8.821028811418837e-05,0.763009668563518
564.0,0.13469984465798948,0.00010042742255125826,0.8651997279194593,0.23648687535513588,0.00010042742255125826,0.7634126972223129
565.0,0.13443899840513487,0.0001104711954873693,0.8654505303993778,0.23617674607533468,0.00011047119548736926,0.763712782729178
566.0,0.13431466072668033,0.00011653931321556047,0.8655687999601042,0.2360275395067977,0.0001165393132155604,0.7638559211799868
567.0,0.13422450159003682,0.00012354295693813993,0.865651955453025,0.23593411983980675,0.00012354295693813993,0.7639423372032551
568.0,0.13399069530489974,0.0001356512982082327,0.865873653396892,0.23566098127574003,0.00013565129820823272,0.7642033674260518
569.0,0.1335106892532967,0.00015172435106982897,0.8663375863956335,0.23503724997195402,0.00015172435106982897,0.7648110256769762
570.0,0.13291070167291938,0.000169170739294751,0.8669201275877858,0.23422910584823833,0.00016917073929475102,0.7656017234124669
