ag_boundary_mode,Wavelength_nm,R_stack,R_total,R_stack_step_749_750,R_total_step_749_750
finite_100nm_air_exit,748.0,0.20900103741634923,0.23546854852622978,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,749.0,0.30847561501863086,0.32879018490360584,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,750.0,0.4215171598940647,0.4358016302328999,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,751.0,0.5237143119429902,0.533439923921717,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,752.0,0.5867706738073533,0.5941114132384694,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,753.0,0.5917763094178509,0.5989418244661814,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,754.0,0.5967376269751605,0.6037315212520142,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,755.0,0.6016617955194623,0.6084873755929073,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,756.0,0.6065500421948181,0.6132105291224961,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,757.0,0.6114034526604234,0.6179019889508692,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,758.0,0.6162229208644584,0.6225625787683083,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,759.0,0.6210090994768542,0.6271928904728419,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,760.0,0.6257623507917915,0.6317932361425606,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,761.0,0.6304826896788912,0.636363592201085,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,762.0,0.6351697130207109,0.6409035303678463,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,763.0,0.639822564719268,0.6454121829306274,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,764.0,0.6444398847903037,0.6498881925251753,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,765.0,0.6490197512727256,0.6543296548477942,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,766.0,0.6535596187384405,0.658734057959935,0.11304154487543383,0.10701144532929407
