interface_type,d_air_nm,wavelength_nm,reflectance,delta_r
front,0.0,617,0.0775909430155293,0.0
front,0.0,618,0.07764930197542438,0.0
front,0.0,619,0.0776404980655288,0.0
front,0.0,620,0.07739055839481464,0.0
front,0.0,621,0.07697212302741993,0.0
front,0.0,622,0.07661171008041419,0.0
front,0.0,623,0.07632490504902145,0.0
front,0.0,624,0.07600646154603989,0.0
front,0.0,625,0.07567109189250334,0.0
front,0.0,626,0.07540538227901354,0.0
front,0.0,627,0.07523654090623218,0.0
front,0.0,628,0.07514940091789206,0.0
front,0.0,629,0.0750527784613145,0.0
front,0.0,630,0.07467851368688466,0.0
front,0.0,631,0.07394782743139883,0.0
front,0.0,632,0.07330339316138437,0.0
front,0.0,633,0.07300461706834319,0.0
front,0.0,634,0.07275326412901266,0.0
front,0.0,635,0.07229360582506468,0.0
front,0.0,636,0.07173048762480261,0.0
front,0.0,637,0.07117699843081073,0.0
front,0.0,638,0.07067322280065123,0.0
front,0.0,639,0.07029260693231022,0.0
front,0.0,640,0.06995218551404493,0.0
front,0.0,641,0.06945440642926726,0.0
front,0.0,642,0.06885544900027553,0.0
front,0.0,643,0.0684227652800538,0.0
front,0.0,644,0.0681750867496978,0.0
front,0.0,645,0.06780298287649517,0.0
front,0.0,646,0.06718415138826375,0.0
front,0.0,647,0.0665847943114598,0.0
front,0.0,648,0.06622821914068636,0.0
front,0.0,649,0.06601740549757504,0.0
front,0.0,650,0.06575784423274643,0.0
front,0.0,651,0.0654603428595893,0.0
front,0.0,652,0.06527195626065589,0.0
front,0.0,653,0.06522768933843859,0.0
front,0.0,654,0.06525766770671307,0.0
front,0.0,655,0.06532841838213833,0.0
front,0.0,656,0.06539352499514547,0.0
front,0.0,657,0.06541973967535489,0.0
front,0.0,658,0.06550792991230178,0.0
front,0.0,659,0.0657764265400617,0.0
front,0.0,660,0.0662212344513978,0.0
front,0.0,661,0.066747123443062,0.0
front,0.0,662,0.06718971646531713,0.0
front,0.0,663,0.06752175352047751,0.0
front,0.0,664,0.0680465640036224,0.0
front,0.0,665,0.0689862194386565,0.0
front,0.0,666,0.07000099892599855,0.0
front,0.0,667,0.07075330728721282,0.0
front,0.0,668,0.0714885617364613,0.0
front,0.0,669,0.07251429470023868,0.0
front,0.0,670,0.07377353335415296,0.0
front,0.0,671,0.07510152641755222,0.0
front,0.0,672,0.07634975681652857,0.0
front,0.0,673,0.07739582342820192,0.0
front,0.0,674,0.07853630590772484,0.0
front,0.0,675,0.08023748681454142,0.0
front,0.0,676,0.08226239840185512,0.0
front,0.0,677,0.08395459951482342,0.0
front,0.0,678,0.08542833873672845,0.0
front,0.0,679,0.08740132288733862,0.0
front,0.0,680,0.08969194234810994,0.0
front,0.0,681,0.0915730867366726,0.0
front,0.0,682,0.09320785990342156,0.0
front,0.0,683,0.0949478423267591,0.0
front,0.0,684,0.0965516471120699,0.0
front,0.0,685,0.09820530111279177,0.0
front,0.0,686,0.10062143911038447,0.0
front,0.0,687,0.10352371650086777,0.0
front,0.0,688,0.10568255631372173,0.0
front,0.0,689,0.10693511431438536,0.0
front,0.0,690,0.10859030631128874,0.0
front,0.0,691,0.11131477455751167,0.0
front,0.0,692,0.11416005879668041,0.0
front,0.0,693,0.11605462159578137,0.0
front,0.0,694,0.11745372580725516,0.0
front,0.0,695,0.11927497334225132,0.0
front,0.0,696,0.12151903071893504,0.0
front,0.0,697,0.12371860609219369,0.0
front,0.0,698,0.12572013506467644,0.0
front,0.0,699,0.12764562313804256,0.0
front,0.0,700,0.12962212085030567,0.0
front,0.0,701,0.13167829521095836,0.0
front,0.0,702,0.13357090512491243,0.0
front,0.0,703,0.13488072985741556,0.0
front,0.0,704,0.13569283478207694,0.0
front,0.0,705,0.1366524957597328,0.0
front,0.0,706,0.13808313174580922,0.0
front,0.0,707,0.13981723250974132,0.0
front,0.0,708,0.1415316686271716,0.0
front,0.0,709,0.14273240832012787,0.0
front,0.0,710,0.14309543165857092,0.0
front,0.0,711,0.14323912766675878,0.0
front,0.0,712,0.1439315699763873,0.0
front,0.0,713,0.1450826281280055,0.0
front,0.0,714,0.14624012006601872,0.0
front,0.0,715,0.14702696452896546,0.0
front,0.0,716,0.14713251929288446,0.0
front,0.0,717,0.14665154447086642,0.0
front,0.0,718,0.1459828548747652,0.0
front,0.0,719,0.14525450889606228,0.0
front,0.0,720,0.1444788459013004,0.0
front,0.0,721,0.14391259212017773,0.0
front,0.0,722,0.14346371462871826,0.0
front,0.0,723,0.1424783906917732,0.0
front,0.0,724,0.14111566629123837,0.0
front,0.0,725,0.14050395372208913,0.0
front,0.0,726,0.14038611989516553,0.0
front,0.0,727,0.13909004587341156,0.0
front,0.0,728,0.13668598306693322,0.0
front,0.0,729,0.1345919682539649,0.0
front,0.0,730,0.1331078537950967,0.0
front,0.0,731,0.13153763466615442,0.0
front,0.0,732,0.12957838693799129,0.0
front,0.0,733,0.12777588216165708,0.0
