Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
2.707252,457.970659547024,4.66223,4.498849,2.3602035058552695,0.9530637906517615
2.697853,459.56617502880994,4.677855,4.523305,2.364844114429641,0.956364305875388
2.688519,461.1616968301135,4.671748,4.526351,2.363958407981474,0.9573668861342065
2.67925,462.75710889241384,4.670216,4.54652,2.3651658962372166,0.9611418816821978
2.670044,464.3526413796926,4.678071,4.563462,2.3678391148735303,0.9636343050789878
2.660902,465.94800710435777,4.69348,4.584914,2.372208299062157,0.9663809880887416
2.651822,467.5434414527068,4.708498,4.6088,2.3766783288878193,0.9695885101448952
2.642804,469.1388328457199,4.729356,4.622361,2.3814335279016277,0.9704996897547122
2.633847,470.7342469019651,4.74235,4.648288,2.3856725374215695,0.9742091437712281
2.624951,472.3295726282129,4.768881,4.678263,2.392626996936148,0.9776415224752327
2.616115,473.9248786846143,4.787487,4.701281,2.3976380137975406,0.9803984114669994
2.607338,475.5202371154027,4.813573,4.71642,2.403398201773211,0.9811982043841627
2.59862,477.11553978650204,4.838295,4.742893,2.4097254877225507,0.9841147931921786
2.589961,478.7106771105819,4.891646,4.775592,2.421560251461551,0.9860568195892825
2.581358,480.30609624856373,4.933475,4.792498,2.4301747768175597,0.9860397790557323
2.572814,481.90113393350623,4.960026,4.83137,2.4376408846983293,0.9909929781551697
2.564325,483.49643044465887,4.992225,4.832798,2.443407452499502,0.9889463984110088
2.555892,485.0916955802514,5.052056,4.856922,2.4556180492974664,0.9889408496141182
2.547515,486.6868238263562,5.086529,4.866472,2.4623244566823073,0.9881865866200669
2.539193,488.2819005881002,5.154359,4.89586,2.4762155922601585,0.9885770882193899
2.530925,489.87701492537315,5.203664,4.916656,2.48623088659609,0.9887770332407495
2.522711,491.4720647747601,5.243275,4.901944,2.4920962241588662,0.9834981395340195
2.51455,493.06714282873673,5.305561,4.925137,2.504471654358187,0.9832686649556333
2.506442,494.66214817657857,5.348027,4.917173,2.511275607334614,0.9790189865338849
2.498386,496.257177233622,5.406239,4.919945,2.521512050108233,0.9755941875805864
2.490382,497.85213031575074,5.4675,4.921571,2.532174776066383,0.971807129294099
2.482429,499.4471076514171,5.519319,4.912063,2.540463328440714,0.966765185115844
2.474527,501.0420108570243,5.584065,4.893938,2.550410287898722,0.959441314838819
2.466675,502.63694406437816,5.631383,4.887065,2.5580898538051873,0.9552176192580639
2.458873,504.2318102642958,5.705156,4.886171,2.570672275798509,0.9503683231037774
2.45112,505.8267175821665,5.747854,4.866555,2.576742197410649,0.9443232242811037
2.443417,507.42136278825916,5.799461,4.840111,2.5839210461460325,0.9365826032531291
2.435761,509.0162721219364,5.855118,4.829791,2.5927973555332833,0.9313861319884397
2.428154,510.6109348912795,5.913915,4.796422,2.600805501717509,0.9221031708892798
2.420594,512.2056751359377,5.960843,4.760255,2.6066443882277173,0.9131001953121313
2.413081,513.8004004009811,6.022494,4.747042,2.6163835253921173,0.9071762518624942
2.405614,515.3952313214006,6.058355,4.703505,2.6199433836270063,0.8976348552785413
