case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_mean_deltaR_500_650,front_rms_deltaR_500_650,transition_mean_deltaR_650_810,transition_rms_deltaR_650_810,rear_mean_deltaR_810_1055,rear_rms_deltaR_810_1055,front_to_rear_rms_ratio,transition_to_rear_rms_ratio,front_plus_transition_to_rear_ratio,rear_best_shift_nm,rear_shift_aligned_rms_residual,rear_unaligned_rms_residual,rear_shift_explained_fraction,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
D1_0118,front_gap_on_background,anchor_05_front15,D1_0005,700.0,15.0,20.0,15.0,0.0,-0.011993835477616408,0.015268748782811448,0.007932923014141176,0.018588945104430172,-0.008387116249195583,0.023583375115165204,0.6474369638887241,0.788222424214277,1.435659388103001,-7.0,0.016999531196781915,0.023583375115165204,0.27917309911038013,948.0,830.0,118.0,24.37025425109671
D1_0006,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.778713460517267
D1_0126,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,0.5,0.0,-0.0006380453157217649,0.0007828899519854405,0.0002678093493731221,0.0005447188094082904,-0.00023944747391892727,0.0008001635910688346,0.9784123655759936,0.6807593040826455,1.6591716696586392,0.0,0.0008001635910688346,0.0008001635910688346,0.0,942.0,836.0,106.0,26.722035573789793
D1_0127,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,1.0,0.0,-0.0012633470743617485,0.0015507799531349242,0.0005361414635724842,0.0010969066091192378,-0.00048028754924413545,0.001600698480317244,0.9688145345321835,0.6852674770465458,1.6540820115787294,0.0,0.001600698480317244,0.001600698480317244,0.0,943.0,836.0,107.0,26.663082384381344
D1_0128,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,2.0,0.0,-0.002475283819560978,0.0030411208448902164,0.0010741075510518293,0.0022233425794552365,-0.0009659850089762392,0.0032025548643997226,0.9495921143134686,0.6942402780262668,1.6438323923397355,-1.0,0.002050567097844035,0.0032025548643997226,0.3597089871469268,943.0,836.0,107.0,26.550275988831494
D1_0129,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,3.0,0.0,-0.0036350038738847865,0.004470238870315843,0.0016133813028033097,0.0033785633823409564,-0.0014567714925574067,0.004804917792704362,0.9303465872201425,0.7031469690222093,1.633493556242352,-1.0,0.003214207202838057,0.004804917792704362,0.33105885646609623,944.0,836.0,108.0,26.433269307646324
D1_0130,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,5.0,0.0,-0.005795093137852075,0.007142427808033605,0.0026939119523832753,0.005772002078198255,-0.0024523310166333708,0.008008587367287401,0.891846149697787,0.7207266167532985,1.6125727664510856,-2.0,0.0051700839144376435,0.008008587367287401,0.3544324763745683,945.0,836.0,109.0,26.195176373836937
D1_0131,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,10.0,0.0,-0.010245042278694426,0.012725558745494473,0.005386849835958422,0.012194083638004468,-0.005008040986863936,0.01598233344405875,0.7962265829352381,0.7629726710862412,1.5591992540214792,-5.0,0.010238371729999448,0.01598233344405875,0.3593944359979897,948.0,836.0,112.0,25.57050521494155
D1_0132,front_gap_on_background,anchor_06_rear10,D1_0006,700.0,10.0,10.0,15.0,0.0,-0.013324540991373786,0.01676199137588569,0.008033004642634733,0.019130788176913025,-0.007628427492944869,0.02384583228476533,0.7029316979049048,0.8022696775039947,1.5052013754088995,-7.0,0.015307910355447612,0.02384583228476533,0.35804671555844336,951.0,835.0,116.0,24.909147593301984
D1_0007,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,941.0,835.0,106.0,26.898151932896972
D1_0140,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,0.5,0.0,-0.0006380829391215802,0.0007828736035411602,0.0002732958250032136,0.0005329674045344315,-0.0002395659614321167,0.0007984695371971833,0.9804677161375892,0.6674862091862303,1.6479539253238193,0.0,0.0007984695371971833,0.0007984695371971833,0.0,942.0,835.0,107.0,26.841943380225587
D1_0141,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,1.0,0.0,-0.0012634219635907573,0.0015507468576055822,0.0005472212135104382,0.0010733474064509234,-0.0004805401780539225,0.00159733699342547,0.9708326195338557,0.6719605260935846,1.64279314562744,0.0,0.00159733699342547,0.00159733699342547,0.0,942.0,835.0,107.0,26.786250424456913
D1_0142,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,2.0,0.0,-0.0024754321739777515,0.003041053040673689,0.001096681182253164,0.0021760375405908664,-0.0009665527982756226,0.0031959378415986023,0.9515369795654598,0.68087605217704,1.6324130317424999,-1.0,0.002027388071326534,0.0031959378415986023,0.3656359504437552,943.0,835.0,108.0,26.669839801275362
D1_0143,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,3.0,0.0,-0.003635224283951029,0.004470134704367622,0.001647836748544686,0.003307401691846583,-0.0014577166705045368,0.004795149985626525,0.9322199968232199,0.6897389449257121,1.621958941748932,-1.0,0.0031977725678021167,0.004795149985626525,0.3331235566379679,943.0,835.0,108.0,26.55386571375412
D1_0144,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,5.0,0.0,-0.005795453503576557,0.0071422457770842565,0.0027531900617741574,0.005653079912784817,-0.0024542153611454365,0.007992826491942055,0.8935819868334051,0.7072691892516312,1.6008511760850364,-2.0,0.005132023295808344,0.007992826491942055,0.3579213434719021,945.0,835.0,110.0,26.31365681713279
D1_0145,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,10.0,0.0,-0.010245729402130963,0.012725149389514915,0.005513164741950101,0.0119583847094272,-0.00501329992391136,0.0159533077988559,0.7976495877818833,0.749586534667425,1.5472361224493083,-5.0,0.010123693629883948,0.0159533077988559,0.36541726910014405,948.0,835.0,113.0,25.690104739187667
D1_0146,front_gap_on_background,anchor_07_rear30,D1_0007,700.0,10.0,30.0,15.0,0.0,-0.01332552477288651,0.016761300354415747,0.008231058782950834,0.018786855634112695,-0.007638356562711826,0.02380579896958113,0.7040847642136779,0.7891713971926922,1.49325616140637,-8.0,0.015146584683761058,0.02380579896958113,0.36374390529319145,950.0,834.0,116.0,25.028612721048404
D1_0001,front_roughness_nuisance,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.8269263548786
D1_0004,front_roughness_nuisance,anchor_01_nominal,D1_0001,700.0,5.0,20.0,0.0,0.0,0.0038605543699952775,0.004235024800478569,0.004014396929712429,0.01015169538253471,0.012950906340056008,0.015598361152646893,0.2715044714655761,0.6508180752573525,0.9223225467229286,-3.0,0.012418701772376866,0.015598361152646893,0.20384573412255358,944.0,840.0,104.0,26.66226805374814
D1_0005,front_roughness_nuisance,anchor_01_nominal,D1_0001,700.0,15.0,20.0,0.0,0.0,-0.004048922777552328,0.004265862150081136,-0.005151404530207078,0.011249444481986212,-0.01259975618565961,0.015268861805397774,0.279383113453361,0.7367572400196433,1.0161403534730042,3.0,0.01245168545942567,0.015268861805397774,0.18450467244232904,939.0,832.0,107.0,26.918211741961105
D1_0001,rear_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0,836.0,106.0,26.8269263548786
D1_0063,rear_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,0.5,-4.569129562973604e-06,1.339995279598114e-05,0.00028225026648901516,0.0007632838775191064,0.0002786791036850924,0.0011398220493507361,0.011756179662969324,0.6696517916580813,0.6814079713210506,0.0,0.0011398220493507361,0.0011398220493507361,0.0,942.0,836.0,106.0,26.83716455793278
D1_0064,rear_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,1.0,-9.149891556867433e-06,2.6729994443081888e-05,0.0005543841484119356,0.0015139198006417084,0.0005596711141948118,0.0022767102008298045,0.011740622251061846,0.6649593787078927,0.6767000009589546,-1.0,0.0007035518371858027,0.0022767102008298045,0.6909787477873225,942.0,836.0,106.0,26.841972696196603
D1_0065,rear_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,2.0,-1.8337777066625663e-05,5.3183112331085774e-05,0.001068913961308092,0.0029774241513487367,0.0011281938783337245,0.0045411755402774145,0.01171130951873243,0.6556505303397387,0.6673618398584713,-2.0,0.0014201760899704432,0.0045411755402774145,0.6872668591261534,943.0,837.0,106.0,26.861779015806142
D1_0066,rear_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,0.0,3.0,-2.7547459494072764e-05,7.936420709009931e-05,0.0015448388745978503,0.004390944775118343,0.0017047698379742387,0.006792393850792165,0.011684276388190216,0.6464502606258982,0.6581345370140884,-2.0,0.0017921083317339011,0.006792393850792165,0.7361595379919119,944.0,838.0,106.0,26.88005944891082
