Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
539.0,0.04193131469631514,0.9580686853036848,0.06448276814569395,0.10128023463805379,0.0,0.0,0.0
540.0,0.04193131469631514,0.9580686853036848,0.06523131128764602,0.1019710715078851,0.0,0.0,0.0
541.0,0.04193131469631514,0.9580686853036848,0.06596255371987035,0.1026459833960787,0.0,0.0,0.0
542.0,0.04193131469631514,0.9580686853036848,0.06659852822754189,0.10323299997640446,0.0,0.0,0.0
543.0,0.04193131469631514,0.9580686853036848,0.06718048627424254,0.10377018584462391,0.0,0.0,0.0
544.0,0.04193131469631514,0.9580686853036848,0.06776433083392354,0.1043091395092174,0.0,0.0,0.0
545.0,0.04193131469631514,0.9580686853036848,0.06834852668713932,0.10484844394531898,0.0,0.0,0.0
546.0,0.04193131469631514,0.9580686853036848,0.06891645071802119,0.10537275233773045,0.0,0.0,0.0
547.0,0.04193131469631514,0.9580686853036848,0.06946674191110687,0.10588080595570912,0.0,0.0,0.0
548.0,0.04193131469631514,0.9580686853036848,0.07000420438890427,0.1063770382250651,0.0,0.0,0.0
549.0,0.04193131469631514,0.9580686853036848,0.07052947880070047,0.10686203908383564,0.0,0.0,0.0
550.0,0.04193131469631514,0.9580686853036848,0.0710413559949571,0.10733469052493295,0.0,0.0,0.0
551.0,0.04193131469631514,0.9580686853036848,0.0715404320590645,0.1077955413952742,0.0,0.0,0.0
552.0,0.04193131469631514,0.9580686853036848,0.07202852382831128,0.10824626799176261,0.0,0.0,0.0
553.0,0.04193131469631514,0.9580686853036848,0.07250518069279963,0.10868645292685672,0.0,0.0,0.0
554.0,0.04193131469631514,0.9580686853036848,0.07296637914884026,0.10911237907129782,0.0,0.0,0.0
555.0,0.04193131469631514,0.9580686853036848,0.07341340893638335,0.10952523593337235,0.0,0.0,0.0
556.0,0.04193131469631514,0.9580686853036848,0.07385836772268167,0.10993619552864448,0.0,0.0,0.0
557.0,0.04193131469631514,0.9580686853036848,0.07429653802321338,0.11034090037747712,0.0,0.0,0.0
558.0,0.04193131469631514,0.9580686853036848,0.07468516500436084,0.1106998582832547,0.0,0.0,0.0
559.0,0.04193131469631514,0.9580686853036848,0.07499657852245524,0.11098750592825894,0.0,0.0,0.0
560.0,0.04193131469631514,0.9580686853036848,0.07525797180085655,0.11122895650196293,0.0,0.0,0.0
561.0,0.04193131469631514,0.9580686853036848,0.07550562151677019,0.11145771696100297,0.0,0.0,0.0
562.0,0.04193131469631514,0.9580686853036848,0.07577835966450536,0.11170965776943174,0.0,0.0,0.0
563.0,0.04193131469631514,0.9580686853036848,0.0761048673121622,0.11201127554818682,0.0,0.0,0.0
564.0,0.04193131469631514,0.9580686853036848,0.07645275607968517,0.11233265366854346,0.0,0.0,0.0
565.0,0.04193131469631514,0.9580686853036848,0.07677959123607675,0.11263459112489176,0.0,0.0,0.0
566.0,0.04193131469631514,0.9580686853036848,0.07710406726259571,0.11293435737858026,0.0,0.0,0.0
567.0,0.04193131469631514,0.9580686853036848,0.07745741959933382,0.11326081023777507,0.0,0.0,0.0
568.0,0.04193131469631514,0.9580686853036848,0.07776621600316103,0.11354610699828781,0.0,0.0,0.0
569.0,0.04193131469631514,0.9580686853036848,0.07790553927884437,0.11367483009238934,0.0,0.0,0.0
570.0,0.04193131469631514,0.9580686853036848,0.07792612469812321,0.11369384943194846,0.0,0.0,0.0
571.0,0.04193131469631514,0.9580686853036848,0.07803336127426092,0.1137929282893936,0.0,0.0,0.0
572.0,0.04193131469631514,0.9580686853036848,0.07829675403250108,0.11403628798427594,0.0,0.0,0.0
573.0,0.04193131469631514,0.9580686853036848,0.07860631857785443,0.1143223146378461,0.0,0.0,0.0
574.0,0.04193131469631514,0.9580686853036848,0.07886722381450739,0.11456338760267082,0.0,0.0,0.0
575.0,0.04193131469631514,0.9580686853036848,0.07903513766647478,0.11471854056521008,0.0,0.0,0.0
576.0,0.04193131469631514,0.9580686853036848,0.07911517786256159,0.1147924987464125,0.0,0.0,0.0
577.0,0.04193131469631514,0.9580686853036848,0.07921752296485365,0.11488706767640719,0.0,0.0,0.0
578.0,0.04193131469631514,0.9580686853036848,0.07941701195066911,0.11507140184654796,0.0,0.0,0.0
579.0,0.04193131469631514,0.9580686853036848,0.07960785326867063,0.1152477481923722,0.0,0.0,0.0
580.0,0.04193131469631514,0.9580686853036848,0.07967760606310346,0.1153122037589052,0.0,0.0,0.0
581.0,0.04193131469631514,0.9580686853036848,0.07970097688079614,0.11533379981407112,0.0,0.0,0.0
582.0,0.04193131469631514,0.9580686853036848,0.07980016378421474,0.1154254550103538,0.0,0.0,0.0
583.0,0.04193131469631514,0.9580686853036848,0.07996711018692866,0.11557972615010019,0.0,0.0,0.0
584.0,0.04193131469631514,0.9580686853036848,0.08013056164086621,0.11573076979165615,0.0,0.0,0.0
585.0,0.04193131469631514,0.9580686853036848,0.08024066347194907,0.11583251482057905,0.0,0.0,0.0
